placementId,siteName,appName,status
1818681071680237_1818710398343971,Interstitial-004,Solitaire Lite,TRUE
1818681071680237_1818710698343941,banner-002,Solitaire Lite,TRUE
1818681071680237_1818712631677081,DIYFacebook-001,Solitaire Lite,TRUE
1818681071680237_1835917479956596,Navtie-brand,Solitaire Lite,TRUE
1818681071680237_1952047765010233,Interstitial-002-new,Solitaire Lite,TRUE
1818681071680237_1952048061676870,Native-brand-002-new,Solitaire Lite,TRUE
1818681071680237_1952048158343527,Native-brand-new,Solitaire Lite,TRUE
1818681071680237_1952048371676839,Interstitial-004-new,Solitaire Lite,TRUE
1818681071680237_1952048455010164,Interstitial-001-new,Solitaire Lite,TRUE
196300824187295_196307657519945,banner-001,Solitaire Collection_IOS,TRUE
196300824187295_196307890853255,Interstitial-001,Solitaire Collection_IOS,TRUE
196300824187295_196308260853218,Native-001,Solitaire Collection_IOS,TRUE
196300824187295_196308314186546,NativeMenu-001,Solitaire Collection_IOS,TRUE
196300824187295_196308704186507,NativeMenu-002,Solitaire Collection_IOS,TRUE
196300824187295_196308810853163,native-002,Solitaire Collection_IOS,TRUE
196300824187295_196309290853115,Interstitial-004,Solitaire Collection_IOS,TRUE
196300824187295_196309394186438,Navtie-Interstitial,Solitaire Collection_IOS,TRUE
196300824187295_196309550853089,banner-002,Solitaire Collection_IOS,TRUE
196300824187295_196309650853079,DIYFacebook-001,Solitaire Collection_IOS,TRUE
196300824187295_304148226735887,Interstitial-002-New,Solitaire Collection_IOS,TRUE
196300824187295_304148170069226,Native-brand-002-new,Solitaire Collection_IOS,TRUE
196300824187295_304148393402537,Native-brand-new,Solitaire Collection_IOS,TRUE
196300824187295_304148540069189,Interstitial-004-new,Solitaire Collection_IOS,TRUE
196300824187295_304148713402505,Interstitial-001-new,Solitaire Collection_IOS,TRUE
196300824187295_305444863272890,Interstitial-003,Solitaire Collection_IOS,TRUE
199613353805536_208634349570103,banner-001,Spider Solitaire,TRUE
199613353805536_208635346236670,Interstitial-001,Spider Solitaire,TRUE
199613353805536_370638323369704,Interstitial-002-new,Spider Solitaire,TRUE
199613353805536_365719033861633,Interstitial-001-new,Spider Solitaire,TRUE
199613353805536_208635402903331,native-001,Spider Solitaire,TRUE
199613353805536_208635666236638,Interstitial-002,Spider Solitaire,TRUE
199613353805536_208635846236620,banner-002,Spider Solitaire,TRUE
199613353805536_208636012903270,Interstitial-003,Spider Solitaire,TRUE
199613353805536_208636649569873,NativeMenu-001,Spider Solitaire,TRUE
199613353805536_208637026236502,NativeMenu-002,Spider Solitaire,TRUE
199613353805536_208637842903087,native-002,Spider Solitaire,TRUE
199613353805536_208757286224476,Interstitial-004,Spider Solitaire,TRUE
199613353805536_231816307251907,DIYFacebook-001,Spider Solitaire,TRUE
199613353805536_252280941872110,Navtie-Interstitial,Spider Solitaire,TRUE
199613353805536_292974351136102,Video-Interstital,Spider Solitaire,TRUE
199613353805536_316056668827870,Interstitial-005,Spider Solitaire,TRUE
199613353805536_360046791095524,Navtie-Interstitial-new,Spider Solitaire,TRUE
199613353805536_360047251095478,Interstitial-004-new,Spider Solitaire,TRUE
199613353805536_360047334428803,Interstitial-001-new,Spider Solitaire,TRUE
199613353805536_364902887276581,X-Interstitial-004-New,Spider Solitaire,TRUE
199613353805536_364900057276864,X-Native-brand-002-new,Spider Solitaire,TRUE
199613353805536_364898807276989,X-Native-brand-001-new,Spider Solitaire,TRUE
199613353805536_364895593943977,X-Native-brand-004-new,Spider Solitaire,TRUE
199613353805536_364902277276642,X-Native-brand-new,Spider Solitaire,TRUE
204253830060767_205240289962121,banner-001,Spider2,TRUE
204253830060767_205240416628775,Interstitial-001,Spider2,TRUE
204253830060767_205243889961761,native-001,Spider2,TRUE
204253830060767_205243983295085,Interstitial-004,Spider2,TRUE
204253830060767_205244099961740,banner-002,Spider2,TRUE
204253830060767_296320977520718,Interstitial-002-New,Spider2,TRUE
204253830060767_205247906628026,NativeMenu-001,Spider2,TRUE
204253830060767_205248019961348,NativeMenu-002,Spider2,TRUE
204253830060767_205248136628003,native-002,Spider2,TRUE
204253830060767_205249143294569,Navtie-Interstitial,Spider2,TRUE
2140278182865228_2140279429531770,banner-001,Tripeaks Solitaire,TRUE
2140278182865228_2140279612865085,Interstitial-001,Tripeaks Solitaire,TRUE
2140278182865228_2140279786198401,native-001,Tripeaks Solitaire,TRUE
2140278182865228_2140279952865051,Interstitial-004,Tripeaks Solitaire,TRUE
2140278182865228_2140280396198340,banner-002,Tripeaks Solitaire,TRUE
2140278182865228_2140280659531647,NativeMenu-001,Tripeaks Solitaire,TRUE
2140278182865228_2140281129531600,NativeMenu-002,Tripeaks Solitaire,TRUE
2140278182865228_2140281456198234,native-002,Tripeaks Solitaire,TRUE
2140278182865228_2140281589531554,Navtie-Interstitial,Tripeaks Solitaire,TRUE
2140278182865228_2257554594470919,Interstitial-002-new,Tripeaks Solitaire,TRUE
2140278182865228_2257554244470954,Native-brand-002-new,Tripeaks Solitaire,TRUE
2140278182865228_2257554731137572,Native-brand-new,Tripeaks Solitaire,TRUE
2140278182865228_2257554881137557,Interstitial-004-new,Tripeaks Solitaire,TRUE
2140278182865228_2257554974470881,Interstitial-001-new,Tripeaks Solitaire,TRUE
217345668743762_217345995410396,Native-001,Solitaire Themes,TRUE
217345668743762_217347392076923,Interstitial-001,Solitaire Themes,TRUE
221885831577144_221887758243618,banner-001,Solitaire_IOS,TRUE
221885831577144_368594590239600,IOS-native-002,Solitaire_IOS,TRUE
221885831577144_221905641575163,IOS-NativeMenu-001,Solitaire_IOS,TRUE
221885831577144_221897184909342,Interstitial-001,Solitaire_IOS,TRUE
221885831577144_221902931575434,Interstitial-002,Solitaire_IOS,TRUE
221885831577144_221902668242127,IOS-native-001,Solitaire_IOS,TRUE
221885831577144_221903544908706,Interstitial-003,Solitaire_IOS,TRUE
221885831577144_221903178242076,banner-002,Solitaire_IOS,TRUE
221885831577144_221909001574827,IOS-NativeMenu-002,Solitaire_IOS,TRUE
221885831577144_221909244908136,IOS-native-002,Solitaire_IOS,TRUE
221885831577144_221909454908115,IOS-Interstitial-004,Solitaire_IOS,TRUE
221885831577144_235792083519852,DIYFacebook-001,Solitaire_IOS,TRUE
221885831577144_274435239655536,Native-Interstitial,Solitaire_IOS,TRUE
221885831577144_358809591218100,native-001-new,Solitaire_IOS,TRUE
221885831577144_358809487884777,native-002-new,Solitaire_IOS,TRUE
221885831577144_365793187186407,IOS-banner-001,Solitaire_IOS,TRUE
221885831577144_375364066229319,Interstitial-002-new,Solitaire_IOS,TRUE
221885831577144_375363979562661,Native-brand-002-new,Solitaire_IOS,TRUE
221885831577144_375364129562646,Native-brand-new,Solitaire_IOS,TRUE
221885831577144_375364206229305,Interstitial-004-new,Solitaire_IOS,TRUE
221885831577144_375364246229301,Interstitial-001-new,Solitaire_IOS,TRUE
221885831577144_378953169203742,banner-003,Solitaire_IOS,TRUE
237470269973217_237473186639592,Interstitial-001-new,Super Challenges,TRUE
237470269973217_237473383306239,Banner-001-new,Super Challenges,TRUE
237470269973217_408126586240917,Native-001-new,Super Challenges,TRUE
237470269973217_408126662907576,NativeMenu-001-new,Super Challenges,TRUE
237470269973217_408126872907555,Native Menu-002-new,Super Challenges,TRUE
237470269973217_408131796240396,native-002-new,Super Challenges,TRUE
237470269973217_408131939573715,Interstitial-004-new,Super Challenges,TRUE
237470269973217_408132439573665,banner-002-new,Super Challenges,TRUE
237470269973217_408134232906819,Native-brand-new,Super Challenges,TRUE
237470269973217_475498856170356,banner-003,Super Challenges,TRUE
268680496901705_268778340225254,banner-001,Spider Solitaire_IOS,TRUE
268680496901705_268778440225244,Interstitial-001,Spider Solitaire_IOS,TRUE
268680496901705_268778483558573,native-001,Spider Solitaire_IOS,TRUE
268680496901705_268778560225232,Interstitial-002,Spider Solitaire_IOS,TRUE
268680496901705_268778630225225,banner-002,Spider Solitaire_IOS,TRUE
268680496901705_268778796891875,NativeMenu-001,Spider Solitaire_IOS,TRUE
268680496901705_268778980225190,NativeMenu-002,Spider Solitaire_IOS,TRUE
268680496901705_268779063558515,native-002,Spider Solitaire_IOS,TRUE
268680496901705_268779223558499,DIYFacebook-001,Spider Solitaire_IOS,TRUE
268680496901705_268779260225162,Navtie-Interstitial,Spider Solitaire_IOS,TRUE
268680496901705_365810353855385,Interstitial-002-new,Spider Solitaire_IOS,TRUE
268680496901705_365810183855402,Native-brand-002-new,Spider Solitaire_IOS,TRUE
268680496901705_365810467188707,Native-brand-new,Spider Solitaire_IOS,TRUE
268680496901705_365810553855365,Interstitial-004-new,Spider Solitaire_IOS,TRUE
268680496901705_365810620522025,Interstitial-001-new,Spider Solitaire_IOS,TRUE
199613353805536_320547105045493,Native-brand-001-new,Spider Solitaire,TRUE
199613353805536_320547288378808,Native-brand-002-new,Spider Solitaire,TRUE
199613353805536_320547695045434,Native-brand-new,Spider Solitaire,TRUE
199613353805536_320548051712065,Interstitial-004-new,Spider Solitaire,TRUE
318848741818803_362633230773687,banner-001,Solitaire1,TRUE
318848741818803_362633354107008,Interstitial-001,Solitaire1,TRUE
318848741818803_362633704106973,Native-001,Solitaire1,TRUE
318848741818803_362635860773424,NativeMenu-001,Solitaire1,TRUE
318848741818803_362635967440080,Native Menu-002,Solitaire1,TRUE
318848741818803_362636080773402,native-002,Solitaire1,TRUE
318848741818803_362636744106669,Interstitial-004,Solitaire1,TRUE
318848741818803_362636924106651,banner-002,Solitaire1,TRUE
318848741818803_362637577439919,Interstitial-005,Solitaire1,TRUE
318848741818803_435274590176217,Native-brand,Solitaire1,TRUE
318848741818803_443547576015585,Reward video,Solitaire1,TRUE
318848741818803_496281937408815,Reward video-001,Solitaire1,TRUE
318848741818803_444345159269160,Interstitial-002-new,Solitaire1,TRUE
318848741818803_362637087439968,Native-brand-002-new,Solitaire1,TRUE
318848741818803_457298127973863,LockScreen2-facebook,Solitaire1,TRUE
318848741818803_521332828237059,X-Interstitial-001,Solitaire1,TRUE
318848741818803_444344515935891,Native-brand-new,Solitaire1,TRUE
318848741818803_444345439269132,Interstitial-004-new,Solitaire1,TRUE
318848741818803_457363054634037,Interstitial-001-new,Solitaire1,TRUE
378162695907148_627729404283808,X-Interstitial-001-new,Solitaire2,TRUE
378162695907148_379859462404138,Interstitial-001,Solitaire2,TRUE
378162695907148_379859495737468,banner-001,Solitaire2,TRUE
378162695907148_379859792404105,Native-001,Solitaire2,TRUE
378162695907148_379860199070731,Interstitial-002,Solitaire2,TRUE
378162695907148_379860359070715,Banner-002,Solitaire2,TRUE
378162695907148_379860485737369,Interstitial-003,Solitaire2,TRUE
378162695907148_379860985737319,Interstitial-004,Solitaire2,TRUE
378162695907148_379861352403949,Interstitial-005,Solitaire2,TRUE
378162695907148_379861565737261,banner-003,Solitaire2,TRUE
378162695907148_379863295737088,banner-004,Solitaire2,TRUE
378162695907148_379863389070412,banner-005,Solitaire2,TRUE
378162695907148_379863562403728,native-002,Solitaire2,TRUE
378162695907148_379863765737041,NativeMenu-001,Solitaire2,TRUE
378162695907148_379863939070357,NativeMenu-002,Solitaire2,TRUE
378162695907148_537617023295047,Navtie-brand,Solitaire2,TRUE
378162695907148_548210735569009,Reward video-001,Solitaire2,TRUE
378162695907148_558962474493835,X-Interstitial-002-New,Solitaire2,TRUE
378162695907148_558962611160488,Native-brand-002-new,Solitaire2,TRUE
378162695907148_558962814493801,Native-brand-new,Solitaire2,TRUE
378162695907148_558963091160440,Interstitial-004-new,Solitaire2,TRUE
378162695907148_577359705987445,Reward video-002,Solitaire2,TRUE
378162695907148_577359499320799,Reward video-001,Solitaire2,TRUE
378162695907148_601983050191777,Row-Native brand-hb,Solitaire2,TRUE
378162695907148_601982860191796,Row-Native menu-hb,Solitaire2,TRUE
378162695907148_595695040820578,Row-Native-hb,Solitaire2,TRUE
378162695907148_595693644154051,Row-Reward video-hb,Solitaire2,TRUE
378162695907148_595693617487387,Row-Banner-hb,Solitaire2,TRUE
378162695907148_595063354217080,Row-Interstitial-hb,Solitaire2,TRUE
378162695907148_605222623201153,T1-Native brand-hb,Solitaire2,TRUE
378162695907148_605222796534469,T1-Native menu-hb,Solitaire2,TRUE
378162695907148_605222933201122,T1-Native-hb,Solitaire2,TRUE
378162695907148_605223193201096,T1-Banner-hb,Solitaire2,TRUE
378162695907148_605227606533988,T1-Interstitial-hb,Solitaire2,TRUE
378162695907148_605227813200634,T2-Native brand-hb,Solitaire2,TRUE
378162695907148_605227976533951,T2-Native menu-hb,Solitaire2,TRUE
378162695907148_605228056533943,T2-Native-hb,Solitaire2,TRUE
378162695907148_605228119867270,T2-Banner-hb,Solitaire2,TRUE
378162695907148_605228223200593,T2-Interstitial-hb,Solitaire2,TRUE
378162695907148_629402497449832,GroupA-Interstitial-new,Solitaire2,TRUE
378162695907148_629400417450040,GroupA-Interstitial-002-new,Solitaire2,TRUE
378162695907148_629399620783453,GroupA-Interstitial-001-New,Solitaire2,TRUE
378162695907148_629402690783146,GroupA-Interstitial-004-new,Solitaire2,TRUE
378162695907148_629402844116464,GroupA-Interstitial-003-new,Solitaire2,TRUE
378162695907148_629922540731161,HB-Interstitial-Abtesting,Solitaire2,TRUE
378162695907148_629944617395620,HB-Banner-Abtesting,Solitaire2,TRUE
378162695907148_629942504062498,GroupA-Banner-001,Solitaire2,TRUE
378162695907148_629942204062528,GroupA-banner-002,Solitaire2,TRUE
399485160407618_399938790362255,banner-001,FreeCell_IOS,TRUE
399485160407618_399938910362243,Interstitial-001,FreeCell_IOS,TRUE
399485160407618_399939063695561,native-001,FreeCell_IOS,TRUE
399485160407618_399939633695504,banner-002,FreeCell_IOS,TRUE
399485160407618_399939840362150,NativeMenu-001,FreeCell_IOS,TRUE
399485160407618_399942133695254,native-002,FreeCell_IOS,TRUE
399485160407618_399942213695246,NativeMenu-002,FreeCell_IOS,TRUE
399485160407618_399943060361828,Interstitial-004,FreeCell_IOS,TRUE
399485160407618_399943317028469,Navtie-Interstitial,FreeCell_IOS,TRUE
399485160407618_399939337028867,Interstitial-002,FreeCell_IOS,TRUE
399485160407618_514773372212129,Interstitial-002-new,FreeCell_IOS,TRUE
399485160407618_514773238878809,Native-brand-002-new,FreeCell_IOS,TRUE
399485160407618_514773585545441,Native-brand-new,FreeCell_IOS,TRUE
399485160407618_514773682212098,Interstitial-004-new,FreeCell_IOS,TRUE
399485160407618_514774118878721,Interstitial-001-new,FreeCell_IOS,TRUE
651910048330174_651911124996733,banner-001,FreeCell2,TRUE
651910048330174_651911244996721,Interstitial-001,FreeCell2,TRUE
651910048330174_651911368330042,native-001,FreeCell2,TRUE
651910048330174_651911481663364,Interstitial-004,FreeCell2,TRUE
651910048330174_651911568330022,banner-002,FreeCell2,TRUE
651910048330174_651912048329974,NativeMenu-001,FreeCell2,TRUE
651910048330174_651912191663293,NativeMenu-002,FreeCell2,TRUE
651910048330174_651912338329945,native-002,FreeCell2,TRUE
651910048330174_651912418329937,Navtie-brand,FreeCell2,TRUE
