payId,price,consumable,status,platform
String,Number,Number,Boolean,String
com.cardgames.solitaire.fun.free.spider.classic_product3,4.99,0,TRUE,android
com.cardgames.solitaire.fun.free.spider.classic_product4,9.99,0,TRUE,android
com.cardgames.solitaire.fun.free.spider.classic_product5,19.99,0,TRUE,android
com.cardgames.solitaire.fun.free.spider.classic_product6,4.99,0,TRUE,android
com.cardgames.solitaire.fun.free.spider.classic_product7,49.99,0,TRUE,android
com.cardgames.solitaire.fun.free.spider.classic_product8,1.99,1,TRUE,android
com.cardgames.solitaire.fun.free.spider.classic_product1,0.99,0,TRUE,ios
com.cardgames.solitaire.fun.free.spider.classic_product2,2.99,0,TRUE,ios
com.cardgames.solitaire.fun.free.spider.classic_product3,4.99,0,TRUE,ios
com.cardgames.solitaire.fun.free.spider.classic_product4,9.99,0,TRUE,ios
com.cardgames.solitaire.fun.free.spider.classic_product5,19.99,0,TRUE,ios
com.cardgames.solitaire.fun.free.spider.classic_product6,4.99,0,TRUE,ios
com.cardgames.solitaire.fun.free.spider.classic_product7,49.99,0,TRUE,ios
com.cardgames.solitaire.fun.free.spider.classic_product8,1.99,1,TRUE,ios
com.cardgames.solitaire.fun.free.collection.classic_product1,0.99,0,TRUE,android
com.cardgames.solitaire.fun.free.collection.classic_product2,2.99,0,TRUE,android
com.cardgames.solitaire.fun.free.collection.classic_product3,4.99,0,TRUE,android
com.cardgames.solitaire.fun.free.collection.classic_product4,9.99,0,TRUE,android
com.cardgames.solitaire.fun.free.collection.classic_product5,19.99,0,TRUE,android
com.cardgames.solitaire.fun.free.collection.classic_product6,4.99,0,TRUE,android
com.cardgames.solitaire.fun.free.collection.classic_product7,49.99,0,TRUE,android
solitaire.collection.fun_auto_sub_monthly_3days_trial,4.99,1,TRUE,android
solitaire.collection.fun_auto_sub_monthly,4.99,1,TRUE,android
solitaire.collection.fun_auto_sub_annual,39.99,1,TRUE,android
com.cardgames.solitaire.fun.free.collection.classic_product1,0.99,0,TRUE,ios
com.cardgames.solitaire.fun.free.collection.classic_product2,2.99,0,TRUE,ios
com.cardgames.solitaire.fun.free.collection.classic_product3,4.99,0,TRUE,ios
com.cardgames.solitaire.fun.free.collection.classic_product4,9.99,0,TRUE,ios
com.cardgames.solitaire.fun.free.collection.classic_product5,19.99,0,TRUE,ios
com.cardgames.solitaire.fun.free.collection.classic_product6,4.99,0,TRUE,ios
com.cardgames.solitaire.fun.free.collection.classic_product7,49.99,0,TRUE,ios
com.cardgames.solitaire.fun.free.collection.classic_product8,1.99,1,TRUE,ios
solitaire.collection.fun_auto_sub_monthly_3days_trial,5.99,1,TRUE,ios
solitaire.collection.fun_auto_sub_monthly,5.99,1,TRUE,ios
solitaire.collection.fun_auto_sub_annual,49.99,1,TRUE,ios
com.cardgames.solitaire.fun.free.pyramid.classic_product1,0.99,0,TRUE,android
com.cardgames.solitaire.fun.free.pyramid.classic_product2,2.99,0,TRUE,android
com.cardgames.solitaire.fun.free.pyramid.classic_product3,4.99,0,TRUE,android
com.cardgames.solitaire.fun.free.pyramid.classic_product4,9.99,0,TRUE,android
com.cardgames.solitaire.fun.free.pyramid.classic_product5,19.99,0,TRUE,android
